rank,appid,name,avg_players,gain,peak_players
1,730,Counter-Strike 2,681704,,1725815
2,570,Dota 2,262762,,657074
3,3419430,Bongo Cat,145373,,192501
4,1172710,Dune: Awakening,130136,,189126
5,359550,Tom Clancy's Rainbow Six® Siege X,108129,,141309
6,2767030,Marvel Rivals,103064,,189945
7,578080,PUBG: BATTLEGROUNDS,101037,,779352
8,2622380,ELDEN RING NIGHTREIGN,95615,,240640
9,2923300,Banana,89495,,123469
10,252490,Rust,78879,,191730
11,238960,Path of Exile,75246,,178443
12,1938090,Call of Duty®,66625,,104112
13,1086940,Baldur's Gate 3,60108,,117677
14,1172470,Apex Legends,52811,,256964
15,553850,HELLDIVERS™ 2,51578,,162997
16,431960,Wallpaper Engine,50908,,133127
17,413150,Stardew Valley,46329,,101243
18,271590,Grand Theft Auto V Legacy,45230,,112862
19,381210,Dead by Daylight,44926,,82506
20,440,Team Fortress 2,43665,,59650
21,1366800,Crosshair X,40495,,63791
22,218620,PAYDAY 2,35685,,42341
23,236390,War Thunder,35656,,101988
24,230410,Warframe,35631,,73021
25,2507950,Delta Force,34828,,160918
26,438100,VRChat,34805,,55832
27,3241660,R.E.P.O.,34465,,95470
28,2669320,EA SPORTS FC 25,34383,,95099
29,251570,7 Days to Die,33345,,40560
30,1245620,ELDEN RING,32362,,57671
31,221100,DayZ,31728,,67770
32,3240220,Grand Theft Auto V Enhanced,30499,,79947
33,2252570,Football Manager 2024,30341,,83360
34,1222670,The Sims™ 4,28063,,45705
35,3188910,Waifu,27616,,31386
36,480,Spacewar,27348,,88754
37,550,Left 4 Dead 2,27158,,52111
38,394360,Hearts of Iron IV,24847,,63362
39,1174180,Red Dead Redemption 2,23840,,66882
40,294100,RimWorld,23730,,37773
41,1085660,Destiny 2,23674,,45469
42,346110,ARK: Survival Evolved,23647,,65286
43,322170,Geometry Dash,23536,,50092
44,1671210,DELTARUNE,22764,,69251
45,108600,Project Zomboid,22122,,40929
46,2357570,Overwatch® 2,22042,,39812
47,1091500,Cyberpunk 2077,22035,,57605
48,3164500,Schedule I,21680,,67502
49,526870,Satisfactory,21324,,38217
50,489830,The Elder Scrolls V: Skyrim Special Edition,21140,,43781
